selfies,y,source_split
92,[O][=C][N][C][Branch2][Ring2][=Branch2][C][=C][C][=N][C][C][=C][Branch2][Ring1][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][C][=C][N][Ring1][#Branch1][Cl][O][C][=Ring1][S][N][=C][Ring2][Ring1][Ring2][O][Ring2][Ring1][#Branch1][=C][C][=Branch1][C][=O][N][C][=C][Ring2][Ring1][S][Ring1][=Branch1],train
93,[N][C][=C][C][=C][N][=C][Ring1][=Branch1],train
94,[C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][P][C][=C][C][=C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][S][Ring1][#Branch2][C][=C][C][=Branch1][#Branch1][=C][Ring2][Ring1][Ring2][Ring1][S][C][Ring2][Ring1][Branch2][=O],train
95,[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][P][C][=N][C][=N][C][Branch2][Ring1][Branch1][C][=C][C][=C][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][C][Ring1][#Branch2][=C][Ring1][=C][=N][Ring2][Ring1][Ring2][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],train
96,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
97,[C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
98,[C][C][O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Branch1][=Branch2][C][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],train
99,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
100,[C][C][N][=C][Branch1][=N][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][O][N][C][=Ring1][=N][C][C][C][C][Ring1][=Branch1],train
101,[N][C][=C][C][=N][C][=C][Ring1][=Branch1],train
102,[C][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][N][=C][N][Ring1][Branch1][C][N][Branch1][C][C][C][Ring1][N][=O],train
103,[F][C][Branch1][C][F][Branch1][C][F][C][=C][C][=C][N][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][=C][Branch1][#C][C][=C][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][O][Ring1][#C][C][=C][C][Ring2][Ring1][Branch1][=N][C][Ring2][Ring1][=Branch2][=C][Ring2][Ring1][=N],train
104,[Cl][C][=N][C][Branch1][C][Cl][=N][C][Branch2][Ring2][Ring1][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][Branch1][=C][C][=C][C][=C][C][Ring2][Ring1][C][=C][Ring1][=Branch1][Ring1][S][=C][Ring1][N][Ring1][S][=N][Ring2][Ring1][N],train
105,[C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
106,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
107,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
108,[N][#C][C][=C][C][=C][C][NH1][C][=C][C][Ring1][=Branch2][=Ring1][Branch1],train
109,[C][O][C][=N][C][Branch2][Ring1][=Branch1][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Ring1][=C][=N][C][Branch1][Ring1][O][C][=N][Ring2][Ring1][#Branch1],train
110,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
111,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
112,[C][C][N][Branch1][Ring1][C][C][C][=C][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=Ring1][Branch2][C][=C][Ring1][N][C],train
113,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
114,[O][=C][C][=C][C][=C][C][=C][Branch1][O][N][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][Branch2][=C][Ring2][Ring1][=Branch1][Ring2][Ring1][C][C][=Branch1][C][=O][N][Ring2][Ring1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1],train
115,[C][C][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P],train
