selfies,y,fidelity,source_split
[O][=C][Branch1][=Branch2][O][C][C][=C][O][C][=Ring1][Branch1][C][=C][C][=C][Branch2][Ring2][Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][C][Branch1][#C][C][=C][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][=N][C][Ring1][S][=N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][=N],2.3008,1,train
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O],-1.909,1,train
[C][C][=C][C][=C][C][Branch1][Branch2][C][C][=Branch1][C][=O][N][N][=C][O][C][Ring1][#Branch2][=C][Ring1][=C],-0.4553,1,train
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O],-1.909,1,train
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2],2.9261,1,train
[C][C][Branch1][C][C][C][C][C][C][N][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch2][=O],0.482,1,train
[C][C][Branch1][C][C][Branch1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.0808,1,train
[C][=C][N][=C][C][Branch2][Branch1][Ring1][C][=N][C][=N][C][NH1][C][=N][C][=Ring1][Branch1][N][=C][Ring1][=Branch2][N][Ring1][N][C][=C][C][O][C][C][=C][Branch1][=N][C][=N][C][S][C][=N][C][=Ring1][Branch1][S][Ring1][Branch2][S][C][=Ring1][=N][C][=Ring1][S][S][Ring2][Ring1][Ring1][=C][Ring2][Ring2][Branch1],2.2564,1,train
[C][=C][C][C][C][=C][C][=C][C][Branch2][Ring1][Branch1][C][=C][C][=Branch1][O][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][N][=S][=N][Ring1][O][=C][C][=C][C][Ring2][Ring1][C][=N][Ring2][Ring1][=Branch1],2.4952,1,train
[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.2302,1,train
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O],-1.909,1,train
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O],-1.909,1,train
[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=Branch1][C][=O][C][C][C][Ring1][O],0.269,1,train
[C][=C][C][=C][O][C][Branch2][Ring2][O][C][=N][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][N][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][Ring1][S][Ring1][N][C][=C][Ring2][Ring1][=Branch1][NH1][Ring2][Ring1][=Branch2][=N][C][Ring2][Ring1][=C][=C][Ring2][Ring2][C],1.5909,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][C][C][=C][S][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=N][Ring1][O][C][=C][Ring1][P],0.7866,1,train
[C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch2][Ring2][C][C][=C][Branch1][C][F][C][=C][Branch2][Ring1][C][C][=N][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][O][C][=C][Ring2][Ring1][C][F][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring2][C],1.4251,1,train
